"Gene","pathway"
"GNG12","Pathways in Cancer"
"GNG13","Pathways in Cancer"
"GNGT1","Pathways in Cancer"
"GNGT2","Pathways in Cancer"
"COL4A2","Pathways in Cancer"
"COL4A4","Pathways in Cancer"
"COL4A6","Pathways in Cancer"
"COL4A1","Pathways in Cancer"
"COL4A5","Pathways in Cancer"
"COL4A3","Pathways in Cancer"
"LAMA1","Pathways in Cancer"
"LAMA2","Pathways in Cancer"
"LAMA3","Pathways in Cancer"
"LAMA5","Pathways in Cancer"
"LAMA4","Pathways in Cancer"
"LAMB1","Pathways in Cancer"
"LAMB2","Pathways in Cancer"
"LAMB3","Pathways in Cancer"
"LAMB4","Pathways in Cancer"
"LAMC1","Pathways in Cancer"
"LAMC2","Pathways in Cancer"
"LAMC3","Pathways in Cancer"
"FN1","Pathways in Cancer"
"ITGA2","Pathways in Cancer"
"ITGA2B","Pathways in Cancer"
"ITGA3","Pathways in Cancer"
"ITGA6","Pathways in Cancer"
"ITGAV","Pathways in Cancer"
"ITGB1","Pathways in Cancer"
"PTK2","Pathways in Cancer"
"PIK3CA","Pathways in Cancer"
"PIK3CD","Pathways in Cancer"
"PIK3CB","Pathways in Cancer"
"PIK3R1","Pathways in Cancer"
"PIK3R2","Pathways in Cancer"
"PIK3R3","Pathways in Cancer"
"PTEN","Pathways in Cancer"
"NKX3-1","Pathways in Cancer"
"AKT1","Pathways in Cancer"
"AKT2","Pathways in Cancer"
"AKT3","Pathways in Cancer"
"CHUK","Pathways in Cancer"
"IKBKB","Pathways in Cancer"
"IKBKG","Pathways in Cancer"
"NFKBIA","Pathways in Cancer"
"NFKB1","Pathways in Cancer"
"NFKB2","Pathways in Cancer"
"RELA","Pathways in Cancer"
"PTGS2","Pathways in Cancer"
"NOS2","Pathways in Cancer"
"BCL2","Pathways in Cancer"
"BIRC2","Pathways in Cancer"
"BIRC3","Pathways in Cancer"
"XIAP","Pathways in Cancer"
"BIRC7","Pathways in Cancer"
"BIRC8","Pathways in Cancer"
"BCL2L1","Pathways in Cancer"
"TRAF1","Pathways in Cancer"
"TRAF2","Pathways in Cancer"
"TRAF3","Pathways in Cancer"
"TRAF4","Pathways in Cancer"
"TRAF5","Pathways in Cancer"
"TRAF6","Pathways in Cancer"
"MTOR","Pathways in Cancer"
"RPS6KB1","Pathways in Cancer"
"RPS6KB2","Pathways in Cancer"
"BAD","Pathways in Cancer"
"FOXO1","Pathways in Cancer"
"MDM2","Pathways in Cancer"
"TP53","Pathways in Cancer"
"CDKN1B","Pathways in Cancer"
"CDKN1A","Pathways in Cancer"
"BCR","Pathways in Cancer"
"ABL1","Pathways in Cancer"
"CRK","Pathways in Cancer"
"CRKL","Pathways in Cancer"
"CBL","Pathways in Cancer"
"STAT5A","Pathways in Cancer"
"STAT5B","Pathways in Cancer"
"PIM1","Pathways in Cancer"
"PIM2","Pathways in Cancer"
"KNG1","Pathways in Cancer"
"EDN1","Pathways in Cancer"
"BDKRB1","Pathways in Cancer"
"BDKRB2","Pathways in Cancer"
"EDNRA","Pathways in Cancer"
"EDNRB","Pathways in Cancer"
"GNAQ","Pathways in Cancer"
"GNA11","Pathways in Cancer"
"PLCB1","Pathways in Cancer"
"PLCB2","Pathways in Cancer"
"PLCB3","Pathways in Cancer"
"PLCB4","Pathways in Cancer"
"PRKCA","Pathways in Cancer"
"PRKCB","Pathways in Cancer"
"PRKCG","Pathways in Cancer"
"IL2","Pathways in Cancer"
"IL3","Pathways in Cancer"
"IL4","Pathways in Cancer"
"IL5","Pathways in Cancer"
"IL6","Pathways in Cancer"
"IL7","Pathways in Cancer"
"IL12A","Pathways in Cancer"
"IL12B","Pathways in Cancer"
"IL13","Pathways in Cancer"
"IL15","Pathways in Cancer"
"IL23A","Pathways in Cancer"
"EPO","Pathways in Cancer"
"IFNA1","Pathways in Cancer"
"IFNA2","Pathways in Cancer"
"IFNA4","Pathways in Cancer"
"IFNA5","Pathways in Cancer"
"IFNA6","Pathways in Cancer"
"IFNA7","Pathways in Cancer"
"IFNA8","Pathways in Cancer"
"IFNA10","Pathways in Cancer"
"IFNA13","Pathways in Cancer"
"IFNA14","Pathways in Cancer"
"IFNA16","Pathways in Cancer"
"IFNA17","Pathways in Cancer"
"IFNA21","Pathways in Cancer"
"IFNG","Pathways in Cancer"
"IL2RA","Pathways in Cancer"
"IL2RB","Pathways in Cancer"
"IL2RG","Pathways in Cancer"
"IL3RA","Pathways in Cancer"
"IL4R","Pathways in Cancer"
"CSF2RB","Pathways in Cancer"
"IL5RA","Pathways in Cancer"
"IL6R","Pathways in Cancer"
"IL6ST","Pathways in Cancer"
"IL7R","Pathways in Cancer"
"IL12RB1","Pathways in Cancer"
"IL12RB2","Pathways in Cancer"
"IL13RA1","Pathways in Cancer"
"IL15RA","Pathways in Cancer"
"IL23R","Pathways in Cancer"
"EPOR","Pathways in Cancer"
"IFNAR1","Pathways in Cancer"
"IFNAR2","Pathways in Cancer"
"IFNGR1","Pathways in Cancer"
"IFNGR2","Pathways in Cancer"
"EML4","Pathways in Cancer"
"ALK","Pathways in Cancer"
"RASGRP1","Pathways in Cancer"
"RASGRP2","Pathways in Cancer"
"RASGRP3","Pathways in Cancer"
"RASGRP4","Pathways in Cancer"
"JAK1","Pathways in Cancer"
"JAK2","Pathways in Cancer"
"JAK3","Pathways in Cancer"
"STAT3","Pathways in Cancer"
"STAT1","Pathways in Cancer"
"STAT2","Pathways in Cancer"
"STAT4","Pathways in Cancer"
"STAT6","Pathways in Cancer"
"VEGFA","Pathways in Cancer"
"VEGFB","Pathways in Cancer"
"PGF","Pathways in Cancer"
"VEGFC","Pathways in Cancer"
"VEGFD","Pathways in Cancer"
"TGFA","Pathways in Cancer"
"EGF","Pathways in Cancer"
"EGFR","Pathways in Cancer"
"ERBB2","Pathways in Cancer"
"PDGFA","Pathways in Cancer"
"PDGFB","Pathways in Cancer"
"PDGFRA","Pathways in Cancer"
"PDGFRB","Pathways in Cancer"
"IGF1","Pathways in Cancer"
"IGF2","Pathways in Cancer"
"IGF1R","Pathways in Cancer"
"KITLG","Pathways in Cancer"
"KIT","Pathways in Cancer"
"FLT3LG","Pathways in Cancer"
"FLT3","Pathways in Cancer"
"HGF","Pathways in Cancer"
"MET","Pathways in Cancer"
"FGF1","Pathways in Cancer"
"FGF2","Pathways in Cancer"
"FGF3","Pathways in Cancer"
"FGF4","Pathways in Cancer"
"FGF17","Pathways in Cancer"
"FGF6","Pathways in Cancer"
"FGF7","Pathways in Cancer"
"FGF8","Pathways in Cancer"
"FGF9","Pathways in Cancer"
"FGF10","Pathways in Cancer"
"FGF16","Pathways in Cancer"
"FGF5","Pathways in Cancer"
"FGF18","Pathways in Cancer"
"FGF20","Pathways in Cancer"
"FGF22","Pathways in Cancer"
"FGF19","Pathways in Cancer"
"FGF21","Pathways in Cancer"
"FGF23","Pathways in Cancer"
"FGFR1","Pathways in Cancer"
"FGFR2","Pathways in Cancer"
"FGFR3","Pathways in Cancer"
"FGFR4","Pathways in Cancer"
"GRB2","Pathways in Cancer"
"SOS1","Pathways in Cancer"
"SOS2","Pathways in Cancer"
"HRAS","Pathways in Cancer"
"KRAS","Pathways in Cancer"
"NRAS","Pathways in Cancer"
"ARAF","Pathways in Cancer"
"BRAF","Pathways in Cancer"
"RAF1","Pathways in Cancer"
"MAP2K1","Pathways in Cancer"
"MAP2K2","Pathways in Cancer"
"MAPK1","Pathways in Cancer"
"MAPK3","Pathways in Cancer"
"JUN","Pathways in Cancer"
"FOS","Pathways in Cancer"
"ETS1","Pathways in Cancer"
"MMP1","Pathways in Cancer"
"MMP2","Pathways in Cancer"
"MMP9","Pathways in Cancer"
"CXCL8","Pathways in Cancer"
"CDK4","Pathways in Cancer"
"RPS6KA5","Pathways in Cancer"
"RET","Pathways in Cancer"
"CCDC6","Pathways in Cancer"
"NCOA4","Pathways in Cancer"
"NTRK1","Pathways in Cancer"
"TPM3","Pathways in Cancer"
"TPR","Pathways in Cancer"
"TFG","Pathways in Cancer"
"RASSF1","Pathways in Cancer"
"RASSF5","Pathways in Cancer"
"STK4","Pathways in Cancer"
"DAPK1","Pathways in Cancer"
"DAPK3","Pathways in Cancer"
"DAPK2","Pathways in Cancer"
"PLCG1","Pathways in Cancer"
"PLCG2","Pathways in Cancer"
"ELK1","Pathways in Cancer"
"CALML3","Pathways in Cancer"
"CALM2","Pathways in Cancer"
"CALM3","Pathways in Cancer"
"CALM1","Pathways in Cancer"
"CALML6","Pathways in Cancer"
"CALML5","Pathways in Cancer"
"CALML4","Pathways in Cancer"
"CAMK2A","Pathways in Cancer"
"CAMK2D","Pathways in Cancer"
"CAMK2B","Pathways in Cancer"
"CAMK2G","Pathways in Cancer"
"RALGDS","Pathways in Cancer"
"RALA","Pathways in Cancer"
"RALB","Pathways in Cancer"
"RALBP1","Pathways in Cancer"
"CDC42","Pathways in Cancer"
"RAC1","Pathways in Cancer"
"RAC2","Pathways in Cancer"
"RAC3","Pathways in Cancer"
"MAPK8","Pathways in Cancer"
"MAPK10","Pathways in Cancer"
"MAPK9","Pathways in Cancer"
"PAX8","Pathways in Cancer"
"PPARG","Pathways in Cancer"
"RXRA","Pathways in Cancer"
"RXRB","Pathways in Cancer"
"RXRG","Pathways in Cancer"
"RARB","Pathways in Cancer"
"ESR1","Pathways in Cancer"
"ESR2","Pathways in Cancer"
"NCOA1","Pathways in Cancer"
"NCOA3","Pathways in Cancer"
"SP1","Pathways in Cancer"
"PPARD","Pathways in Cancer"
"JUP","Pathways in Cancer"
"ZBTB16","Pathways in Cancer"
"PML","Pathways in Cancer"
"RARA","Pathways in Cancer"
"RUNX1","Pathways in Cancer"
"RUNX1T1","Pathways in Cancer"
"SPI1","Pathways in Cancer"
"CEBPA","Pathways in Cancer"
"CSF2RA","Pathways in Cancer"
"CSF3R","Pathways in Cancer"
"CSF1R","Pathways in Cancer"
"CDKN2A","Pathways in Cancer"
"E2F1","Pathways in Cancer"
"E2F2","Pathways in Cancer"
"E2F3","Pathways in Cancer"
"MAX","Pathways in Cancer"
"ZBTB17","Pathways in Cancer"
"CDKN2B","Pathways in Cancer"
"CDK6","Pathways in Cancer"
"CCND2","Pathways in Cancer"
"CCND3","Pathways in Cancer"
"CKS1B","Pathways in Cancer"
"CKS2","Pathways in Cancer"
"SKP1","Pathways in Cancer"
"CUL1","Pathways in Cancer"
"RBX1","Pathways in Cancer"
"SKP2","Pathways in Cancer"
"CDK2","Pathways in Cancer"
"CCNE1","Pathways in Cancer"
"CCNE2","Pathways in Cancer"
"RB1","Pathways in Cancer"
"GADD45A","Pathways in Cancer"
"GADD45B","Pathways in Cancer"
"GADD45G","Pathways in Cancer"
"BAX","Pathways in Cancer"
"BAK1","Pathways in Cancer"
"DDB2","Pathways in Cancer"
"POLK","Pathways in Cancer"
"TERT","Pathways in Cancer"
"TERC","Pathways in Cancer"
"MITF","Pathways in Cancer"
"TGFB1","Pathways in Cancer"
"TGFB2","Pathways in Cancer"
"TGFB3","Pathways in Cancer"
"TGFBR1","Pathways in Cancer"
"TGFBR2","Pathways in Cancer"
"SMAD2","Pathways in Cancer"
"SMAD3","Pathways in Cancer"
"SMAD4","Pathways in Cancer"
"MECOM","Pathways in Cancer"
"CTBP1","Pathways in Cancer"
"CTBP2","Pathways in Cancer"
"HDAC1","Pathways in Cancer"
"HDAC2","Pathways in Cancer"
"MLH1","Pathways in Cancer"
"MSH2","Pathways in Cancer"
"MSH3","Pathways in Cancer"
"MSH6","Pathways in Cancer"
"BRCA2","Pathways in Cancer"
"RAD51","Pathways in Cancer"
"FASLG","Pathways in Cancer"
"FAS","Pathways in Cancer"
"FADD","Pathways in Cancer"
"CASP8","Pathways in Cancer"
"BID","Pathways in Cancer"
"PMAIP1","Pathways in Cancer"
"BBC3","Pathways in Cancer"
"BCL2L11","Pathways in Cancer"
"CYCS","Pathways in Cancer"
"APAF1","Pathways in Cancer"
"CASP7","Pathways in Cancer"
"KEAP1","Pathways in Cancer"
"NFE2L2","Pathways in Cancer"
"HMOX1","Pathways in Cancer"
"NQO1","Pathways in Cancer"
"GSTA5","Pathways in Cancer"
"GSTA2","Pathways in Cancer"
"GSTA4","Pathways in Cancer"
"GSTO2","Pathways in Cancer"
"GSTM4","Pathways in Cancer"
"GSTT2","Pathways in Cancer"
"GSTT1","Pathways in Cancer"
"GSTM3","Pathways in Cancer"
"MGST1","Pathways in Cancer"
"MGST3","Pathways in Cancer"
"GSTP1","Pathways in Cancer"
"GSTM1","Pathways in Cancer"
"GSTM5","Pathways in Cancer"
"MGST2","Pathways in Cancer"
"GSTA1","Pathways in Cancer"
"GSTM2","Pathways in Cancer"
"GSTA3","Pathways in Cancer"
"GSTO1","Pathways in Cancer"
"GSTT2B","Pathways in Cancer"
"TXNRD1","Pathways in Cancer"
"TXNRD3","Pathways in Cancer"
"TXNRD2","Pathways in Cancer"
"VHL","Pathways in Cancer"
"ELOC","Pathways in Cancer"
"ELOB","Pathways in Cancer"
"CUL2","Pathways in Cancer"
"EGLN1","Pathways in Cancer"
"EGLN3","Pathways in Cancer"
"EGLN2","Pathways in Cancer"
"FH","Pathways in Cancer"
"HIF1A","Pathways in Cancer"
"EPAS1","Pathways in Cancer"
"ARNT","Pathways in Cancer"
"ARNT2","Pathways in Cancer"
"CREBBP","Pathways in Cancer"
"EP300","Pathways in Cancer"
"SLC2A1","Pathways in Cancer"
"JAG1","Pathways in Cancer"
"JAG2","Pathways in Cancer"
"DLL3","Pathways in Cancer"
"DLL1","Pathways in Cancer"
"DLL4","Pathways in Cancer"
"NOTCH1","Pathways in Cancer"
"NOTCH2","Pathways in Cancer"
"NOTCH3","Pathways in Cancer"
"NOTCH4","Pathways in Cancer"
"HES1","Pathways in Cancer"
"HES5","Pathways in Cancer"
"HEYL","Pathways in Cancer"
"HEY1","Pathways in Cancer"
"HEY2","Pathways in Cancer"
"FLT4","Pathways in Cancer"
"SHH","Pathways in Cancer"
"PTCH1","Pathways in Cancer"
"SMO","Pathways in Cancer"
"KIF7","Pathways in Cancer"
"SUFU","Pathways in Cancer"
"GLI1","Pathways in Cancer"
"GLI2","Pathways in Cancer"
"GLI3","Pathways in Cancer"
"BMP2","Pathways in Cancer"
"BMP4","Pathways in Cancer"
"HHIP","Pathways in Cancer"
"PTCH2","Pathways in Cancer"
"AR","Pathways in Cancer"
"HSP90AA1","Pathways in Cancer"
"HSP90AB1","Pathways in Cancer"
"HSP90B1","Pathways in Cancer"
"KLK3","Pathways in Cancer"
"PLD1","Pathways in Cancer"
"CCNA1","Pathways in Cancer"
"PORCN","WNT Signalling"
"WNT1","WNT Signalling"
"WNT2","WNT Signalling"
"WNT2B","WNT Signalling"
"WNT3","WNT Signalling"
"WNT3A","WNT Signalling"
"WNT4","WNT Signalling"
"WNT5A","WNT Signalling"
"WNT5B","WNT Signalling"
