Gene,Genomic_Alt,Protein_Alt,Note
MLF1,,,2
MUC4,,,2
NFASC,,,2
OXR1,,,2
PASK,,,2
PCLO,,,2
PDZD2,,,2
PDZRN3,,,2
PLXDC1,,,2
PODN,,,2
PSMC3,,,2
PTPN23,,,2
PTPRM,,,2
RAI1,,,2
RNF40,,,2
SACS,,,2
SELP,,,2
SERF2,,,2
SLC38A10,,,2
SNED1,,,2
SYBU,,,2
TENM2,,,2
TRIP12,,,2
TSHZ2,,,2
UGT2A3,,,2
WNK2,,,2
XPO5,,,2
ZNF276,,,2
AP001468,,,1
CTD-2132N18,,,1
FAM186A,,,1
FAM230A,,,1
GBP4,,,1
HLA-DQA1,,,1
HLA-DQB1,,,1
KRT18,,,1
MADCAM1,,,1
MAGEC1,,,1
MYO7A,,,1
NCAM1,,,1
SCN2A,,,1
SIRPA,,,1
SLIT2,,,1
TBC1D4,,,1
TIPIN,,,1
TPRXL,,,1
VWA3B,,,1
ZNF274,,,1
ZNF519,,,1
