"seqnames","start","end","width","strand","SYMBOL"
"chr15",25479394,25479475,82,"+","SNORD115-35"
"chr15",25483133,25483214,82,"+","SNORD115-37"
"chr15",25484985,25485066,82,"+","SNORD115-38"
"chr15",25486893,25486974,82,"+","SNORD115-39"
"chr15",25488761,25488842,82,"+","SNORD115-40"
"chr15",25490625,25490706,82,"+","SNORD115-41"
"chr15",25496006,25496087,82,"+","SNORD115-44"
"chr11",2017989,2018061,73,"-","MIR675"
"chr15",25349788,25349880,93,"+","SNORD116-28"
"chr15",25351667,25351751,85,"+","SNORD116-29"
"chr15",25514930,25515005,76,"+","SNORD115-48"
"chr15",25458806,25458876,71,"+","SNORD115-24"
"chr15",25465650,25465725,76,"+","SNORD115-27"
"chr15",25467501,25467574,74,"+","SNORD115-28"
"chr15",25509674,25509726,53,"+","SNORD115-45"
"chr15",25513664,25513696,33,"+","SNORD115-47"
"chr22",24309026,24314748,5723,"+","DDTL"
"chr10",102849078,102890903,41826,"-","TLX1NB"
"chr11",64812295,64826014,13720,"-","NAALADL1"
"chr9",21994790,22121093,126304,"+","CDKN2B-AS1"
"chr5",69812079,70585523,773445,"-","GUSBP9"
"chr19",52145806,52150132,4327,"-","SIGLEC14"
"chr20",44470360,44486048,15689,"-","ACOT8"
"chr10",27035525,27150016,114492,"-","ABI1"
"chr5",141380234,141392620,12387,"-","GNPDA1"
"chr19",57352270,57359922,7653,"+","MIMT1"
"chr11",74165886,74178600,12715,"-","KCNE3"
"chrX",119384607,119392251,7645,"+","ZBTB33"
"chr4",119199917,119200978,1062,"+","SNHG8"
"chrX",13328771,13338052,9282,"+","GS1-600G8.3"
"chr16",68678151,68732957,54807,"+","CDH3"
"chr2",161993466,162092683,99218,"+","TANK"
"chr19",24344995,24346249,1255,"-","HAVCR1P1"
"chr7",75046065,75115568,69504,"-","POM121C"
"chr18",32831023,32870196,39174,"-","ZSCAN30"
"chr20",30135185,30136019,835,"+","MCTS2P"
"chrX",49188094,49313710,125617,"+","GAGE8"
"chr13",19836940,19919113,82174,"-","ANKRD26P3"
"chr5",139929652,139937678,8027,"-","SRA1"
"chr20",2443598,2443693,96,"-","SNORD119"
"chr9",33952762,33952852,91,"-","SNORD121A"
"chr3",52724754,52724846,93,"+","SNORD19B"
"chr19",10220425,10220516,92,"+","SNORD105B"
"chr5",9548939,9549026,88,"+","SNORD123"
"chr20",62584737,62588338,3602,"+","UCKL1-AS1"
"chr14",45580078,45580176,99,"+","SNORD127"
"chr14",20794600,20794698,99,"-","SNORD126"
"chr2",203156040,203156151,112,"+","SNORD11B"
"chr20",47896850,47896952,103,"+","SNORD12B"
"chr16",70563402,70563502,101,"+","SNORD111B"
"chr6",105384169,105388402,4234,"-","LIN28B-AS1"
"chr9",13927970,13945606,17637,"+","LINC00583"
"chr6",11538460,11583757,45298,"+","TMEM170B"
"chr15",102495088,102496558,1471,"+","FAM138E"
"chr18",47015605,47015694,90,"-","SNORD58C"
"chr6",8086641,8086766,126,"-","SCARNA27"
"chr9",95054740,95054875,136,"-","SNORA84"
"chr2",69747177,69747303,127,"-","SNORA36C"
"chr17",65736786,65736917,132,"+","SNORA38B"
"chr2",61644379,61644512,134,"-","SNORA70B"
"chr9",119943345,119943480,136,"-","SNORA70C"
"chr14",91592770,91592896,127,"+","SNORA11B"
"chrX",47248049,47248175,127,"+","SNORA11C"
"chr12",54356092,54368740,12649,"-","HOTAIR"
"chr19",10415479,10420233,4755,"-","ZGLP1"
"chr3",125635444,125648867,13424,"+","FAM86JP"
"chrX",146990949,147003676,12728,"-","FMR1-AS1"
"chr20",57393281,57393368,88,"-","MIR298"
"chr14",101507700,101507781,82,"+","MIR300"
"chr5",135416187,135416286,100,"-","VTRNA2-1"
"chrX",133674215,133674292,78,"-","MIR450B"
"chrX",145075793,145075869,77,"-","MIR890"
"chrX",145082571,145082649,79,"-","MIR891B"
"chrX",145076302,145076378,77,"-","MIR888"
"chrX",145078716,145078792,77,"-","MIR892B"
"chr14",101530832,101530915,84,"+","MIR541"
"chr8",100549014,100549089,76,"-","MIR875"
"chr9",28863624,28863704,81,"-","MIR876"
"chr15",45725248,45725327,80,"+","MIR147B"
"chr17",11985216,11985313,98,"+","MIR744"
"chr14",101341370,101341441,72,"+","MIR665"
"chr9",28888877,28888953,77,"-","MIR873"
"chrX",73438382,73438453,72,"-","MIR374B"
"chr22",22007270,22007347,78,"+","MIR301B"
"chr2",56227849,56227930,82,"-","MIR216B"
"chr12",24365355,24365429,75,"+","MIR920"
"chr3",197401367,197401447,81,"-","MIR922"
"chrX",135633037,135633119,83,"+","MIR934"
"chr19",54485561,54485651,91,"+","MIR935"
"chr10",105807847,105807944,98,"-","MIR936"
"chr10",29891193,29891275,83,"-","MIR938"
"chr16",2321748,2321841,94,"+","MIR940"
"chr20",62550778,62551006,229,"+","MIR941-1"
"chr1",117637265,117637350,86,"+","MIR942"
"chr4",1988111,1988204,94,"-","MIR943"
"chr11",79113066,79113153,88,"-","MIR708"
"chr3",10436173,10436246,74,"-","MIR885"
"chr14",101498324,101498401,78,"+","MIR543"
"chr14",23887196,23887272,77,"-","MIR208B"
"chr8",144895127,144895212,86,"-","MIR937"
"chr3",189547711,189547798,88,"+","MIR944"
"chrX",145109312,145109390,79,"-","MIR891A"
"chrX",145078187,145078261,75,"-","MIR892A"
"chr5",136983261,136983338,78,"-","MIR874"
"chr14",101514238,101514316,79,"+","MIR889"
"chr1",154166141,154166219,79,"-","MIR190B"
"chr1",94312388,94312467,80,"+","MIR760"
"chr1",166123980,166124035,56,"-","MIR921"
"chr2",176032361,176032437,77,"-","MIR933"
"chr8",145619364,145619445,82,"-","MIR939"
"chr20",62551085,62551313,229,"+","MIR941-3"
"chr16",14403142,14403228,87,"+","MIR365A"
"chr17",29902430,29902540,111,"+","MIR365B"
"chr19",49540277,49540404,128,"+","SNAR-G1"
"chr19",51108220,51108342,123,"+","SNAR-F"
"chr11",19732480,19736218,3739,"-","LOC100126784"
"chr3",4790878,4793274,2397,"-","EGOT"
"chr3",10320905,10335133,14229,"+","GHRLOS"
"chr19",48421686,48437559,15874,"+","SNAR-A1"
"chr19",48410935,48448300,37366,"+","SNAR-A12"
"chr5",129083884,129100756,16873,"+","KIAA1024L"
"chr20",61294379,61297973,3595,"-","SLCO4A1-AS1"
"chr10",97667722,97698415,30694,"+","C10orf131"
"chr8",91970706,91997485,26780,"-","C8orf88"
"chr3",193710883,193712027,1145,"-","DPPA2P3"
"chr3",149375997,149379149,3153,"+","WWTR1-AS1"
"chr10",96039047,96046827,7781,"-","PLCE1-AS1"
"chr1",32826871,32827844,974,"-","FAM229A"
"chr9",94895116,94900911,5796,"+","LOC100128076"
"chr7",28220076,28280996,60921,"+","JAZF1-AS1"
"chr10",17428935,17452630,23696,"+","ST8SIA6-AS1"
"chr6",168376604,168377619,1016,"-","HGC6.3"
"chr8",74332309,74353753,21445,"+","STAU2-AS1"
"chr3",169661772,169684522,22751,"-","LOC100128164"
"chr6",149275397,149285820,10424,"-","UST-AS1"
"chr12",98906751,98910004,3254,"-","TMPO-AS1"
"chr11",133902167,133911236,9070,"+","LOC100128239"
"chr19",56989243,57006805,17563,"+","ZNF667-AS1"
"chr7",154858779,154863267,4489,"-","HTR5A-AS1"
"chr15",76020011,76032418,12408,"-","DNM1P35"
"chr17",8261731,8263859,2129,"-","LOC100128288"
"chr10",79686570,79689583,3014,"+","DLG5-AS1"
"chr6",116817651,116866773,49123,"-","TRAPPC3L"
"chr8",144816310,144828507,12198,"+","FAM83H-AS1"
"chr9",95380332,95382817,2486,"+","LOC100128361"
"chr3",52096110,52099128,3019,"-","LINC00696"
"chr9",115867003,115873957,6955,"-","FAM225B"
"chr19",58514262,58518574,4313,"+","LOC100128398"
"chrX",135721702,135724588,2887,"+","LINC00892"
"chr20",18790372,18810839,20468,"-","C20orf78"
"chr9",119266562,119324572,58011,"+","ASTN2-AS1"
"chr10",21462919,21463852,934,"+","NEBL-AS1"
"chr22",25498384,25508659,10276,"-","LOC100128531"
"chr12",126927027,126957331,30305,"+","LOC100128554"
"chr19",5978414,6020374,41961,"+","LOC100128568"
"chr19",3539155,3544028,4874,"+","C19orf71"
"chr19",7537723,7538247,525,"-","LOC100128573"
"chr2",40144774,40482349,337576,"+","SLC8A1-AS1"
"chr9",139640613,139644363,3751,"+","LOC100128593"
"chr8",144077245,144079080,1836,"+","CDC42P3"
"chr3",38492518,38496311,3794,"-","ACVR2B-AS1"
"chr19",35549963,35597208,47246,"-","HPN-AS1"
"chr19",35896509,35907742,11234,"+","LINC01531"
"chr15",26147507,26298267,150761,"+","LOC100128714"
"chr2",27293342,27294567,1226,"-","OST4"
"chr8",30239635,30242917,3283,"-","RBPMS-AS1"
"chr16",3082482,3089133,6652,"+","LOC100128770"
"chr9",98568370,98638259,69890,"-","LINC00476"
"chr1",101092606,101112560,19955,"-","LINC01349"
"chr16",2787077,2802601,15525,"-","SRRM2-AS1"
"chr10",25447001,25465205,18205,"-","GPR158-AS1"
"chr7",152161209,152162630,1422,"+","LINC01003"
"chr16",89778264,89784573,6310,"+","VPS9D1-AS1"
"chr7",64035073,64078967,43895,"+","LOC100128885"
"chr8",7143733,7212876,69144,"-","FAM66B"
"chr18",19746859,19748929,2071,"-","GATA6-AS1"
"chr14",105266933,105271048,4116,"+","ZBTB42"
"chr22",49262582,49294198,31617,"+","LINC01310"
"chr8",19041186,19103032,61847,"-","LOC100128993"
"chr21",47247755,47256333,8579,"-","LOC100129027"
"chr9",127115752,127121463,5712,"+","LOC100129034"
"chr1",94057525,94065587,8063,"+","LOC100129046"
"chr10",38464599,38503273,38675,"+","LOC100129055"
"chr9",92254698,92334674,79977,"+","UNQ6494"
"chr14",56024690,56046810,22121,"-","KTN1-AS1"
"chr19",51919160,51920679,1520,"+","LOC100129083"
"chr6",73933268,73935175,1908,"-","KHDC1L"
"chr1",104615645,104619693,4049,"+","LOC100129138"
"chr7",139102209,139112272,10064,"-","LOC100129148"
"chr2",219866937,219880444,13508,"+","LOC100129175"
"chr6",28058454,28105094,46641,"-","ZSCAN16-AS1"
"chr1",31191619,31199593,7975,"+","MATN1-AS1"
"chr10",18290715,18299491,8777,"-","SLC39A12-AS1"
"chr11",71589499,71595607,6109,"+","LOC100129216"
"chrX",145895622,145896249,628,"-","CXorf51A"
"chr9",32551142,32566858,15717,"+","TOPORS-AS1"
"chr1",112141629,112150940,9312,"-","LINC01160"
"chr1",152691998,152692905,908,"+","C1orf68"
"chr9",93825576,93837414,11839,"-","LOC100129316"
"chr14",98098984,98152995,54012,"-","LOC100129345"
"chr3",47053032,47054957,1926,"+","NRADDP"
"chr12",11323780,11328619,4840,"+","SMIM10L1"
"chr9",16203933,16276311,72379,"-","C9orf92"
"chr15",50646371,50650503,4133,"+","GABPB1-AS1"
"chr17",16692057,16693815,1759,"+","FAM106CP"
"chr1",155715559,155720673,5115,"+","MSTO2P"
"chr7",102781717,102782850,1134,"-","RPL19P12"
"chr7",50599457,50611161,11705,"+","DDC-AS1"
"chr7",32620553,32758780,138228,"-","DPY19L1P1"
"chrX",3189861,3202694,12834,"+","LINC01546"
"chr3",12581280,12586963,5684,"-","MKRN2OS"
"chr10",43008961,43048280,39320,"-","ZNF37BP"
"chrX",134252882,134254405,1524,"-","LINC00633"
"chr6",160181291,160183364,2074,"-","LOC100129518"
"chrX",124453969,124456950,2982,"+","TEX13C"
"chr1",2281853,2284100,2248,"-","LOC100129534"
"chr19",23299777,23330017,30241,"+","ZNF730"
"chr3",122605360,122611263,5904,"+","LOC100129550"
"chr4",77135193,77204936,69744,"+","FAM47E"
"chr13",49151110,49155037,3928,"-","LINC00462"
"chr16",81698959,81700879,1921,"+","LOC100129617"
"chr1",99469832,99614408,144577,"+","LOC100129620"
"chr8",67858736,67874825,16090,"-","TCF24"
"chrX",137794269,137798763,4495,"+","FGF13-AS1"
"chr9",24543213,24545674,2462,"-","IZUMO3"
"chr5",90676164,90716532,40369,"+","ARRDC3-AS1"
"chr9",140144671,140147949,3279,"-","STPG3-AS1"
"chr2",43454350,43455994,1645,"+","LINC01126"
"chr5",42756920,42802539,45620,"+","CCDC152"
"chr14",37641231,37642998,1768,"+","SLC25A21-AS1"
"chr11",10562783,10621479,58697,"+","MRVI1-AS1"
"chr19",20720798,20748626,27829,"-","ZNF737"
"chr7",100187024,100201661,14638,"-","PCOLCE-AS1"
"chr4",141204880,141294546,89667,"-","SCOC-AS1"
"chr4",773937,775636,1700,"-","LOC100129917"
"chr1",43253661,43263901,10241,"+","LOC100129924"
"chr4",7032281,7047958,15678,"-","LOC100129931"
"chr19",40129325,40133041,3717,"+","LOC100129935"
"chr2",135624203,135676176,51974,"-","CCNT2-AS1"
"chr15",52472223,52498076,25854,"+","LOC100129973"
"chrX",48660287,48683380,23094,"+","HDAC6"
"chr16",90106169,90114191,8023,"-","URAHP"
"chr4",69048010,69078188,30179,"+","FTLP10"
"chr12",69198217,69199274,1058,"-","LOC100130075"
"chr8",65285775,65295842,10068,"+","MIR124-2HG"
"chr1",47139708,47157769,18062,"+","EFCAB14-AS1"
"chr8",126934767,126963441,28675,"-","LINC00861"
"chr12",132851977,132857486,5510,"+","LOC100130238"
"chr20",19222946,19265240,42295,"-","LOC100130264"
"chr8",144788864,144790279,1416,"-","CCDC166"
"chr6",10412551,10416402,3852,"+","TFAP2A-AS1"
"chr8",61878680,61880307,1628,"-","LOC100130298"
"chr8",74153659,74171737,18079,"-","C8orf89"
"chrX",24380878,24383541,2664,"+","SUPT20HL1"
"chr17",4802948,4806227,3280,"+","C17orf107"
"chr1",238025475,238091619,66145,"+","LOC100130331"
"chr19",35136778,35136957,180,"+","SCGB2B3P"
"chr11",64855844,64856542,699,"-","TMEM262"
"chr6",13279527,13295818,16292,"-","LOC100130357"
"chr17",79349699,79359160,9462,"-","LOC100130370"
"chr13",114451484,114454062,2579,"-","LINC00552"
"chr1",852953,854817,1865,"-","LOC100130417"
"chr22",17517460,17539682,22223,"+","CECR7"
"chr2",241388836,241396117,7282,"-","PP14571"
"chr2",214141277,214148929,7653,"-","LOC100130451"
"chr2",197565359,197577736,12378,"-","LOC100130452"
"chr6",138144807,138189370,44564,"-","LOC100130476"
"chr18",6511415,6590652,79238,"+","LINC01387"
"chr19",17546318,17559376,13059,"-","TMEM221"
"chr18",77905807,77936315,30509,"+","PARD6G-AS1"
"chr10",44788198,44790097,1900,"+","C10orf142"
"chr1",41154752,41157933,3182,"-","NFYC-AS1"
"chr17",41447213,41466266,19054,"-","LINC00910"
"chrX",125953747,125955768,2022,"+","PRR32"
"chr7",32496510,32498106,1597,"-","LOC100130673"
"chr2",178148242,178257419,109178,"-","LOC100130691"
"chr16",34739459,34740840,1382,"-","TP53TG3HP"
"chr7",128506464,128512101,5638,"+","LOC100130705"
"chr22",17640279,17646335,6057,"+","CECR5-AS1"
"chr5",61874562,61877275,2714,"+","LRRC70"
"chr8",92114847,92231464,116618,"+","LRRC69"
"chr5",14712803,14716638,3836,"+","LOC100130744"
"chr7",105205580,105221976,16397,"-","EFCAB10"
"chr12",58120023,58122139,2117,"+","AGAP2-AS1"
"chr19",56052023,56056909,4887,"-","SBK3"
"chr7",56943078,56949839,6762,"-","LOC100130849"
"chr15",63879909,63893026,13118,"-","USP3-AS1"
"chr4",1189571,1202750,13180,"-","LOC100130872"
"chr7",137638094,137642712,4619,"+","LOC100130880"
"chr6",99968870,100033084,64215,"+","TSTD3"
"chr16",70788963,70807154,18192,"+","VAC14-AS1"
"chr22",40428336,40432581,4246,"+","LOC100130899"
"chr17",73642646,73644057,1412,"+","SMIM6"
"chr20",45085132,45086282,1151,"-","ZNF663P"
"chrX",151895978,151903184,7207,"-","CSAG4"
"chr17",5095379,5138931,43553,"+","LOC100130950"
"chr9",138466771,138478958,12188,"+","LINC01502"
"chr16",77233349,77246976,13628,"+","SYCE1L"
"chr8",39420631,39437653,17023,"+","LOC100130964"
"chr6",159309619,159331385,21767,"+","C6orf99"
"chr11",67085310,67159158,73849,"+","LOC100130987"
"chr7",50135682,50198852,63171,"+","C7orf72"
"chr10",22541001,22547477,6477,"+","LOC100130992"
"chr6",38874271,38920883,46613,"-","LOC100131047"
"chr1",59250823,59365384,114562,"+","LINC01135"
"chr5",80533384,80597388,64005,"-","CKMT2-AS1"
"chr15",40331512,40359710,28199,"+","SRP14-AS1"
"chr19",4679294,4685960,6667,"+","DPP9-AS1"
"chr17",76103483,76107880,4398,"-","TNRC6C-AS1"
"chr3",114070658,114107825,37168,"+","ZBTB20-AS1"
"chr19",48471303,48495427,24125,"-","BSPH1"
"chr12",111374406,111375250,845,"+","LINC01405"
"chr7",151106322,151110132,3811,"+","WDR86-AS1"
"chr1",161007422,161008774,1353,"-","TSTD1"
"chr9",139698379,139703300,4922,"-","CCDC183-AS1"
"chr20",10004460,10200154,195695,"-","SNAP25-AS1"
"chr2",191371619,191399468,27850,"-","NEMP2"
"chr10",77161286,77168740,7455,"+","ZNF503-AS2"
"chr1",198777132,198906558,129427,"-","MIR181A1HG"
"chr15",40573645,40574787,1143,"-","ANKRD63"
"chr7",7115401,7136417,21017,"-","LOC100131257"
"chr6",27729523,27730966,1444,"+","LOC100131289"
"chr2",130724165,130738045,13881,"-","RAB6C-AS1"
"chr17",37213272,37264608,51337,"+","LOC100131347"
"chr14",103653558,103655365,1808,"-","LINC00605"
"chr11",33719654,33722286,2633,"-","C11orf91"
"chr2",175199821,175202268,2448,"+","SP9"
"chrX",148609132,148622504,13373,"-","LINC00893"
"chr17",72576111,72588370,12260,"-","CD300LD"
"chr17",655573,658576,3004,"+","DBIL5P"
"chr20",45947246,45949498,2253,"+","LOC100131496"
"chr3",194017424,194030593,13170,"-","LINC00887"
"chr13",100003674,100004281,608,"+","FKSG29"
"chr1",93775666,93811368,35703,"-","CCDC18-AS1"
"chr11",118251935,118289530,37596,"-","LOC100131626"
"chr3",187420154,187450203,30050,"+","LOC100131635"
"chr18",74506688,74534251,27564,"-","LOC100131655"
"chr19",59070553,59086164,15612,"+","MZF1-AS1"
"chr8",124213412,124214983,1572,"-","FAM83A-AS1"
"chr12",109489846,109491770,1925,"-","USP30-AS1"
"chrX",100740241,100754031,13791,"+","ARMCX4"
"chr19",7694671,7696510,1840,"+","PET100"
"chr6",135818939,136037193,218255,"+","LINC00271"
"chrX",84189157,84189896,740,"+","UBE2DNL"
"chr1",159165775,159172212,6438,"-","CADM3-AS1"
"chr3",75758794,75834670,75877,"-","ZNF717"
"chr5",169290719,169407744,117026,"-","FAM196B"
"chr21",31661463,31661832,370,"-","KRTAP25-1"
"chr8",7215498,7220490,4993,"-","ZNF705G"
"chr16",22430867,22449036,18170,"-","RRN3P3"
"chr9",97094758,97123230,28473,"+","LOC100132077"
"chr11",111284967,111288911,3945,"-","LOC100132078"
"chr15",23390722,23393943,3222,"+","HERC2P7"
"chr8",7812535,7866277,53743,"+","FAM66E"
"chr1",151810945,151816641,5697,"+","LOC100132111"
"chr3",46653925,46668033,14109,"+","LOC100132146"
"chrX",18908414,18913093,4680,"+","PHKA2-AS1"
"chr2",63271100,63275656,4557,"-","LOC100132215"
"chr16",22503062,22547841,44780,"+","NPIPB5"
"chr22",42486937,42532702,45766,"+","NDUFA6-AS1"
"chr19_gl000209_random",115099,145745,30647,"+","KIR2DS2"
"chr21",9907189,9968593,61405,"-","TEKT4P2"
"chr16",31711934,31718745,6812,"+","CLUHP3"
"chr9",68726541,68767301,40761,"+","FRG1HP"
"chr6",43858765,43905944,47180,"+","LINC01512"
"chr5",43065289,43067073,1785,"-","LOC100132356"
"chr17",39261641,39262740,1100,"+","KRTAP4-9"
"chr8",7783859,7809935,26077,"+","ZNF705B"
"chrX",49296769,49351917,55149,"+","GAGE12D"
"chr9",141106637,141134172,27536,"+","FAM157B"
"chr1",145209111,146467744,1258634,"+","NBPF10"
"chr1",149369294,149378297,9004,"+","FCGR1CP"
"chr4",184242917,184243579,663,"-","CLDN24"
"chr11",1704500,1706859,2360,"-","FAM99B"
"chr17",39240459,39241396,938,"+","KRTAP4-7"
"chr3",13974553,13978444,3892,"+","FGD5P1"
"chr12",96043031,96067770,24740,"+","PGAM1P5"
"chrY",2620337,2655675,35339,"+","XGY2"
"chr1",71512189,71532865,20677,"+","ZRANB2-AS1"
"chr3",49586739,49591799,5061,"-","BSN-AS2"
"chr7",154720227,154741196,20970,"+","PAXIP1-AS2"
"chr2",131437623,131449262,11640,"+","CYP4F30P"
"chr15",51236326,51238762,2437,"+","DCAF13P3"
"chr6",140092210,140181608,89399,"+","LOC100132735"
"chr1",44165356,44173012,7657,"-","KDM4A-AS1"
"chr9",99631182,99634510,3329,"+","LOC100132781"
"chrX",40690470,40692449,1980,"-","LOC100132831"
"chr7",76668797,76682355,13559,"+","PMS2P9"
"chr8",72755358,72968547,213190,"+","MSC-AS1"
"chr20",61476476,61477543,1068,"+","DPH3P1"
"chr5",63986135,64014017,27883,"+","FAM159B"
"chr8",11973291,12008698,35408,"+","FAM66D"
"chr9",44990236,44991492,1257,"+","FAM27C"
"chrX",154051623,154062937,11315,"-","SMIM9"
"chr15",22702285,22715728,13444,"-","GOLGA8DP"
"chr10",80008382,80311112,302731,"+","LINC00856"
"chr5",99715209,99723958,8750,"-","LOC100133050"
"chrX",145891302,145891929,628,"+","CXorf51B"
"chr7",76178658,76257299,78642,"+","LOC100133091"
"chr9",67792929,67794189,1261,"-","FAM27B"
"chrX",13353360,13359944,6585,"+","LINC01203"
"chr11",126987,139152,12166,"-","LINC01001"
"chr8",12219528,12279970,60443,"+","FAM66A"
"chr6",26924772,26991753,66982,"+","LINC00240"
"chr8",56361757,56367881,6125,"-","SBF1P1"
"chr21",37441940,37498938,56999,"-","LOC100133286"
"chr10",45594924,45650044,55121,"-","RSU1P2"
"chr7",27179983,27195547,15565,"+","HOXA-AS3"
"chr11",71576555,71639493,62939,"-","LOC100133315"
"chr4",3675320,3679582,4263,"-","LOC100133461"
"chr11",2004439,2011150,6712,"-","MRPL23-AS1"
"chr1",3816968,3833879,16912,"+","LINC01134"
"chr8",144063448,144099807,36360,"-","LOC100133669"
"chr9",69651361,69664949,13589,"+","LOC100133920"
"chrY",21152526,21154705,2180,"-","CD24"
"chrX",47518232,47519776,1545,"+","UXT-AS1"
"chr2",70351168,70352448,1281,"-","LOC100133985"
"chr17",43325303,43345997,20695,"+","MAP3K14-AS1"
"chr20",3087557,3131513,43957,"+","UBOX5-AS1"
"chr7",139877061,139879440,2380,"+","JHDM1D-AS1"
"chr2",47055003,47086145,31143,"+","LINC01119"
"chr19",36802245,36803570,1326,"+","LOC100134317"
"chr16",432241,442960,10720,"+","LOC100134368"
"chr7",140395136,140396877,1742,"-","NDUFB2-AS1"
"chr20",25990435,26002430,11996,"+","LOC100134868"
"chr15",82647286,83084341,437056,"+","UBE2Q2P2"
"chr15",42120283,42132428,12146,"+","JMJD7"
"chr15",42128979,42140346,11368,"+","PLA2G4B"
"chr17",42154121,42201014,46894,"-","HDAC5"
"chr17",76142434,76162364,19931,"+","C17orf99"
"chr2",155292365,155313950,21586,"-","LOC100144595"
"chr20",61665569,61668380,2812,"-","LINC00029"
"chr20",61669363,61685215,15853,"+","LINC01056"
"chr4",66535679,66559104,23426,"+","EPHA5-AS1"
"chr22",51021455,51022355,901,"+","CHKB-AS1"
"chr15",93111048,93115493,4446,"-","LINC00930"
"chr10",89618918,89623194,4277,"-","KLLN"
"chr3",33840063,33911199,71137,"+","PDCD6IP"
"chr21",31992946,31993169,224,"+","KRTAP20-4"
"chr2",122288456,122288585,130,"+","RNU4ATAC"
"chr9",137029562,137029686,125,"-","RNU6ATAC"
"chrX",20154184,20154531,348,"-","SCARNA9L"
"chr5",271736,315089,43354,"+","PDCD6"
"chr10",127262940,127267014,4075,"+","TEX36-AS1"
"chr11",125658006,125661495,3490,"+","PATE3"
"chr19",57323848,57325161,1314,"+","PEG3-AS1"
"chr2",63344986,63346677,1692,"-","DBIL5P2"
"chr15",52401822,52404972,3151,"-","BCL2L10"
"chr19",50637002,50642494,5493,"-","SNAR-B2"
"chr19",48416308,48459058,42751,"+","SNAR-C2"
"chr19",48442798,48442917,120,"+","SNAR-C4"
"chr19",47333842,47333961,120,"-","SNAR-E"
"chr2",78182033,78182152,120,"-","SNAR-H"
"chr3",190595719,190595839,121,"+","SNAR-I"
"chr19",48453553,48453671,119,"+","SNAR-C3"
"chr19",50643459,50643577,119,"-","SNAR-D"
"chr19",49534926,49535044,119,"-","SNAR-G2"
"chr19",44116253,44118650,2398,"+","SRRM5"
"chr19",41949063,41950670,1608,"+","ERICH4"
"chr17",36827959,36831187,3229,"-","C17orf96"
"chr2",111878491,111926022,47532,"+","BCL2L11"
"chr3",183959193,183959277,85,"+","MIR1224"
"chr16",2140196,2140285,90,"-","MIR1225"
"chr6",41754178,41757634,3457,"+","TOMM6"
"chr10",93066719,93371217,304499,"-","HECTD2-AS1"
"chr13",30914407,30948036,33630,"-","LINC00426"
"chr9",98782014,98784037,2024,"-","LINC00092"
