Signature,Proposed aetiology,Associated mutation classes and signatures,Comments
SBS8,Unknown.,SBS8 is associated with CC>AA mutations.,N/A
SBS9,May be due in part to mutations induced during replication by polymerase eta as part of somatic hypermutation in lymphoid cells.,N/A,Chronic lymphocytic leukaemias that possess immunoglobulin gene hypermutation (IGHV-mutated) have elevated numbers of mutations attributed to SBS9 compared to those that do not have immunoglobulin gene hypermutation.
SBS10a,Polymerase epsilon exonuclease domain mutations.,SBS10a is associated with SBS10b and SBS28 and these signatures are commonly found in the same samples. DBS3 is also associated with SBS10a/SBS10b.,SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators.
SBS10b,Polymerase epsilon exonuclease domain mutations.,SBS10b is associated with SBS10a and SBS28 and these signatures are commonly found in the same samples. DBS3 is also associated with SBS10a/SBS10b.,Signature SBS10a/SBS10b usually generate large numbers of somatic mutations (>100 mutations per MB) and samples with these signatures have been termed hypermutators. (0.81 similarity with SBS7 v2)
SBS11,SBS11 exhibits a mutational pattern resembling that of alkylating agents. Patient histories indicate an association between previous treatment with the alkylating agent temozolomide and SBS11 mutations.,N/A,SBS11 usually generates large numbers of somatic mutations (>10 mutations per MB).
SBS12,Unknown.,N/A,SBS12 usually contributes a small percentage (<20%) of the mutations observed in liver cancer samples.
SBS13,"Attributed to activity of the AID/APOBEC family of cytidine deaminases on the basis of similarities in the sequence context of cytosine mutations caused by APOBEC enzymes in experimental systems. APOBEC3A is probably responsible for most mutations in human cancer, although APOBEC3B may also contribute (these differ in the sequence context two bases 5‰Ûª to the mutated cytosine, see 1536 mutation classification signature extraction). SBS13 mutations are likely generated by error prone polymerases (such as REV1) replicating across abasic sites generated by base excision repair removal of uracil.","SBS13 is closely associated with SBS2. SBS13 is also associated with DBS11, which is characterised predominantly by CC>TT doublet base substitutions as well as other CC>NN doublet base substitutions.","SBS13 is usually found in the same samples as SBS2. It has been proposed that activation of AID/APOBEC cytidine deaminases in cancer may be due to previous viral infection, retrotransposon jumping, or tissue inflammation. Currently, there is limited evidence to support these hypotheses. Germline polymorphisms involving APOBEC3A and APOBEC3B are associated with predisposition to breast and bladder cancer as well as with mutation burdens of SBS2 and SBS13. Mutations of similar patterns to SBS2 and SBS13 are commonly found in the phenomenon of local hypermutation present in some cancers, known as kataegis, implicating AID/APOBEC enzymes in this process as well."
SBS14,Concurrent polymerase epsilon mutation and defective DNA mismatch repair.,SBS14 is associated with ID1 and ID2.,"SBS14 mutations are present in very high numbers in all samples in which it has been observed. SBS14 is one of seven mutational signatures associated with defective DNA mismatch repair (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS15, SBS20, SBS21, SBS26 and SBS44."
SBS15,Defective DNA mismatch repair.,SBS15 is associated with ID1 and ID2.,"SBS15 is one of seven mutational signatures associated with defective DNA mismatch repair (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS20, SBS21, SBS26, and SBS44."
SBS16,Unknown.,N/A,"In addition to lower levels of nucleotide excision repair on the untranscribed strands of genes, elevated levels of DNA damage on untranscribed strands (compared to the remainder of the genome) may contribute to SBS16. Contamination by SBS16 may still be present in the current version of SBS5."
SBS17a,Unknown.,SBS17a is associated with SBS17b and these signatures are commonly found in the same samples.,SBS17b has similarities to SBS28 and these two signatures can be mistaken for one another.
SBS17b,Unknown.,SBS17b is associated with SBS17a and these signatures are commonly found in the same samples.,N/A
SBS18,Possibly damage by reactive oxygen species.,N/A,Similar in profile to SBS36 which is associated with defective base excision repair due to MUTYH mutations.
SBS19,Unknown.,N/A,N/A
SBS20,Concurrent POLD1 mutations and defective DNA mismatch repair.,SBS20 is associated ID1 and ID2.,"SBS20 is one of seven mutational signatures associated with defective DNA mismatch repair (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS21, SBS26, and SBS44."
SBS21,DNA mismatch repair deficiency.,SBS21 is associated ID1 and ID2.,"SBS21 is one of seven mutational signatures associated with defective DNA mismatch repair (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS26, and SBS44."
SBS22,Aristolochic acid exposure. Found in cancer samples with known exposures to aristolochic acid and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems of aristolochic acid exposure.,N/A,N/A
SBS23,Unknown.,N/A,N/A
SBS24,Aflatoxin exposure. SBS24 has been found in cancer samples with known exposures to aflatoxin and the pattern of mutations exhibited by the signature is consistent with that observed in experimental systems exposed to aflatoxin.,N/A,N/A
SBS25,"Unknown. However, some Hodgkin‰Ûªs cell line samples in which the signature has been found were from patients exposed to chemotherapy and it is possible that SBS25 is due to chemotherapy treatment.",N/A,This signature has only been identified in Hodgkin‰Ûªs cell lines. Data is not available from primary Hodgkin lymphomas.
SBS26,Defective DNA mismatch repair.,SBS26 is associated ID1 and ID2.,"SBS26 is one of seven mutational signatures associated with defective DNA mismatch repair (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS44."
SBS27,Possible sequencing artefact.,N/A,N/A
SBS28,Unknown.,SBS28 is found in most samples with SBS10a/SBS10b.,"SBS28 has similarities to SBS17b and these two signatures can be mistaken for one another. Signature SBS28 is found in most samples with SBS10a/SBS10b where it contributes very high numbers of mutations. In contrast, SBS28 contributes much smaller number of mutations in samples lacking SBS10a/SBS10b."
SBS29,SBS29 has been found in cancer samples from individuals with a tobacco chewing habit.,N/A,The pattern of C>A mutations in SBS29 appears different from the pattern of mutations due to tobacco smoking reflected by SBS4.
SBS30,SBS30 is due to deficiency in base excision repair due to inactivating mutations in NTHL1.,N/A,N/A
SBS31,Prior chemotherapy treatment with platinum drugs.,"SBS31 is associated with DBS5, which is predominantly characterized with CT>AA mutations.",SBS31 exhibits a pattern of mutations similar to components of SBS35 and both may be due to platinum drug treatment.
SBS32,Prior treatment with azathioprine to induce immunosuppression. Associated mutation classes and signatures,N/A,N/A
SBS33,Unknown.,N/A,N/A
SBS34,Unknown.,N/A,N/A
SBS35,Prior chemotherapy treatment with platinum drugs.,"SBS35 is associated with DBS5, which is predominantly characterized with CT>AA mutations.",SBS35 exhibits a pattern of mutations that encompasses SBS31 and both may be due to platinum drug treatment.
SBS36,"Defective base excision repair, including DNA damage due to reactive oxygen species, due to biallelic germline or somatic MUTYH mutations.",N/A,"Similar to SBS18, which has been proposed to be due to reactive oxygen species induced DNA damage."
SBS37,Unknown.,N/A,N/A
SBS38,Unknown. Found only in ultraviolet light associated melanomas suggesting potential indirect damage from UV-light.,N/A,N/A
SBS39,Unknown.,N/A,N/A
SBS40,Unknown.,N/A,Numbers of mutations attributed to SBS40 are correlated with patients‰Ûª ages for some types of human cancer.
SBS41,Unknown.,N/A,N/A
SBS42,Occupational exposure to haloalkanes.,N/A,N/A
SBS43,Unknown. Possible sequencing artefact.,N/A,N/A
SBS44,Defective DNA mismatch repair.,SBS44 is associated with ID1 and ID2.,"SBS44 is one of seven mutational signatures associated with defective DNA mismatch repair (MSI) and is often found in the same samples as other MSI associated signatures: SBS6, SBS14, SBS15, SBS20, SBS21, and SBS26."
SBS45,Possible artefact due to 8-oxo-guanine introduced during sequencing.,N/A,N/A
SBS46,Possible sequencing artefact.,N/A,Signature SBS46 was found commonly in colorectal cancers from early releases of TCGA (data released prior 2013).
SBS47,Possible sequencing artefact.,Possible sequencing artefact.,SBS47 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.
SBS48,Possible sequencing artefact.,Possible sequencing artefact.,SBS48 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.
SBS49,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS50,Possible sequencing artefact.,Possible sequencing artefact.,SBS50 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.
SBS51,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS52,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS53,Possible sequencing artefact.,Possible sequencing artefact.,Signature SBS53 was found in cancer samples that were subsequently blacklisted for poor quality of sequencing data.
SBS54,Possible sequencing artefact. Possible contamination with germline variants.,Possible sequencing artefact.,N/A
SBS55,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS56,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS57,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS58,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS59,Possible sequencing artefact.,Possible sequencing artefact.,N/A
SBS60,Possible sequencing artefact.,Possible sequencing artefact.,N/A
